Explorer,Last accessed,7/14/2022 6:38:04 PM,Run count,64,Last run dates,7/14/2022 2:10:26 PM, 7/14/2022 10:00:18 AM, 7/13/2022 5:27:40 PM, 7/13/2022 3:44:24 PM, 7/13/2022 10:25:26 AM, 7/13/2022 8:03:04 AM, 7/12/2022 5:17:33 PM, 7/12/2022 8:50:56 AM
Bluebeam,Last accessed,App not installed/not accessible,Run count,,Last run dates,
Acrobat DC,Last accessed,7/14/2022 4:40:32 PM,Run count,4,Last run dates,7/11/2022 1:52:04 PM, 6/28/2022 1:32:25 PM, 6/16/2022 3:19:11 PM, 6/16/2022 3:18:36 PM
MiCollab,Last accessed,7/14/2022 6:02:04 PM,Run count,23,Last run dates,7/13/2022 3:13:28 PM, 7/12/2022 8:30:38 AM, 7/11/2022 8:00:09 AM, 7/7/2022 1:19:24 PM, 7/7/2022 12:17:36 PM, 7/7/2022 7:53:35 AM, 7/6/2022 10:33:38 AM, 7/5/2022 4:27:36 PM
Legistar,Last accessed,App not installed/not accessible,Run count,,Last run dates,
Trakit,Last accessed,App not installed/not accessible,Run count,,Last run dates,
Trakit,Last accessed,App not installed/not accessible,Run count,,Last run dates,
Microsoft Project,Last accessed,App not installed/not accessible,Run count,,Last run dates,
Microsoft Visio,Last accessed,App not installed/not accessible,Run count,,Last run dates,
Microsoft Publisher,Last accessed,7/14/2022 2:00:52 PM,Run count,,Last run dates,
Onbase,Last accessed,7/14/2022 6:02:04 PM,Run count,,Last run dates,
BSA Assessing,Last accessed,App not installed/not accessible,Run count,,Last run dates,
BSA Delinquent,Last accessed,App not installed/not accessible,Run count,,Last run dates,
BSA Preaudit,Last accessed,App not installed/not accessible,Run count,,Last run dates,
BSA Special Assessment,Last accessed,App not installed/not accessible,Run count,,Last run dates,
BSA Tax,Last accessed,App not installed/not accessible,Run count,,Last run dates,
Ocularis,Last accessed,App not installed/not accessible,Run count,,Last run dates,
